"","2021-07-18_to_2022-12-01_Index_3QRank","2021-07-18_to_2022-12-01_Crypto10_Index"
"2021-07-18",0,0
"2021-07-19",-6.26377673578301,-7.51444999999999
"2021-07-20",-10.6688432768334,-12.65896
"2021-07-21",0,-1.73409999999999
"2021-07-22",0,0
"2021-07-23",0,0
"2021-07-24",0,0
"2021-07-25",0,0
"2021-07-26",0,0
"2021-07-27",0,-6.92640332771122
"2021-07-28",0,-2.59740405633332
"2021-07-29",0,-11.2554100882667
"2021-07-30",0,-9.82684197633107
"2021-07-31",0,-9.82684197633107
"2021-08-01",-3.26195055184111,-9.82684197633107
"2021-08-02",-1.80085165843488,-11.1471839831056
"2021-08-03",-1.75841027938332,-15.5844168488222
"2021-08-04",0,-13.7229443162422
"2021-08-05",0,-13.09523889765
"2021-08-06",0,-12.2294375455389
"2021-08-07",0,-12.2294375455389
"2021-08-08",-5.1146456324886,-12.2294375455389
"2021-08-09",-0.155316006135764,-1.73160270422221
"2021-08-10",0,0
"2021-08-11",0,0
"2021-08-12",-2.44528921026578,-1.03093018854289
"2021-08-13",0,-3.09278343160801
"2021-08-14",0,-3.09278343160801
"2021-08-15",0,-3.09278343160801
"2021-08-16",0,-5.15463667467317
"2021-08-17",-3.2839542953787,-9.89690555434158
"2021-08-18",0,-8.24742010628121
"2021-08-19",0,-4.63917514741203
"2021-08-20",0,0
"2021-08-21",0,0
"2021-08-22",0,0
"2021-08-23",0,0
"2021-08-24",-5.26337674964844,0
"2021-08-25",-5.11791914657719,0
"2021-08-26",-10.2361060663568,-4.4999998962
"2021-08-27",-0.0991186499631924,0
"2021-08-28",0,0
"2021-08-29",0,0
"2021-08-30",0,-1.63614736338425
"2021-08-31",0,-3.58395082944976
"2021-09-01",0,0
"2021-09-02",0,0
"2021-09-03",0,0
"2021-09-04",0,0
"2021-09-05",0,0
"2021-09-06",0,0
"2021-09-07",-9.51871058266216,-3.85246038328405
"2021-09-08",-5.89420663128499,-5.65573862547701
"2021-09-09",-4.44546377644178,-3.14753927638808
"2021-09-10",-7.94912497686131,-9.83606520182747
"2021-09-11",-5.42032044798305,-9.83606520182747
"2021-09-12",-3.80503598320129,-9.83606520182747
"2021-09-13",-9.23672272963439,-15.0819696679387
"2021-09-14",-8.81955318254243,-11.4754131835528
"2021-09-15",-6.26627751942075,-6.55738058263904
"2021-09-16",-7.35031192065435,-5.21311387631284
"2021-09-17",-9.83058167941065,-7.77049060190274
"2021-09-18",-5.33866842334209,-7.77049060190274
"2021-09-19",-10.1783604199922,-7.77049060190274
"2021-09-20",-22.2929869239788,-22.9508206949744
"2021-09-21",-26.3760736708926,-30.3278695963451
"2021-09-22",-14.2701161254944,-26.0163920050632
"2021-09-23",-12.389007865461,-22.9508206949744
"2021-09-24",-18.1902061759965,-27.8688532958882
"2021-09-25",-18.7593088411501,-27.8688532958882
"2021-09-26",-19.447919084126,-27.8688532958882
"2021-09-27",-21.2169948183389,-27.4426210055577
"2021-09-28",-24.6332973636266,-32.1475402973717
"2021-09-29",-22.2023959868865,-36.836067130352
"2021-09-30",-19.408409273153,-31.1639360460414
"2021-10-01",-11.3396032463811,-29.9016373060145
"2021-10-02",-9.0157178097992,-29.9016373060145
"2021-10-03",-7.20634162385005,-29.9016373060145
"2021-10-04",-10.3101111961613,-31.1475435872077
"2021-10-05",-9.03361640741885,-23.8196720623381
"2021-10-06",-11.6964119619056,-17.868852161462
"2021-10-07",-11.1357107404388,-18.0163956352271
"2021-10-08",-10.6621696711883,-14.6721298364418
"2021-10-09",-9.99227150786414,-14.6721298364418
"2021-10-10",-14.8213629046661,-14.6721298364418
"2021-10-11",-15.4778820347525,-13.21311591828
"2021-10-12",-15.1883361896383,-20.0000022688524
"2021-10-13",-14.542871582108,-17.6229539346949
"2021-10-14",-13.4096230622303,-12.6229533674818
"2021-10-15",-7.95904074176211,-10.0000011344262
"2021-10-16",-9.20175421603158,-10.0000011344262
"2021-10-17",-10.0009798387615,-10.0000011344262
"2021-10-18",-11.0299650375515,-14.7540978027412
