"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-02_to_2022-12-01_Index_3QRank","-74.502","-61.615"
"2021-09-02_to_2022-12-01_Crypto10_Index","-85.498","-80.918"
"Volatility",,
"2021-09-02_to_2022-12-01_Index_3QRank","74.3","73.77"
"2021-09-02_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-02_to_2022-12-01_Index_3QRank","46.73","41.95"
"2021-09-02_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-02_to_2022-12-01_Index_3QRank","0.24","0.46"
"2021-09-02_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-02_to_2022-12-01_Index_3QRank","0.14","1.99"
"2021-09-02_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-02_to_2022-12-01_Index_3QRank","0.73","0.78"
"2021-09-02_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-02_to_2022-12-01_Index_3QRank","66.35","71.56"
"2021-09-02_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-02_to_2022-12-01_Index_3QRank","-80.4588","-82.3925"
"2021-09-02_to_2022-12-01_Crypto10_Index","-85.9481","-88.7377"
