"","2022-03-2022-12"
"Annualized Returns",
"2022-03-11_to_2022-12-01_Index_3QRank","-72.39"
"2022-03-11_to_2022-12-01_Crypto10_Index","-85.834"
"Volatility",
"2022-03-11_to_2022-12-01_Index_3QRank","77.72"
"2022-03-11_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-11_to_2022-12-01_Index_3QRank","40.9"
"2022-03-11_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-11_to_2022-12-01_Index_3QRank","0.33"
"2022-03-11_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-11_to_2022-12-01_Index_3QRank","-1.96"
"2022-03-11_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-11_to_2022-12-01_Index_3QRank","0.73"
"2022-03-11_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-11_to_2022-12-01_Index_3QRank","81.4"
"2022-03-11_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-11_to_2022-12-01_Index_3QRank","-74.6087"
"2022-03-11_to_2022-12-01_Crypto10_Index","-79.9416"
