"","1 Years","2 Years","3 Years","5 Years","10 Years","2012-06-2023-01"
"Annualized Returns",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","-2.286","5.241","3.969","6.081","13.608","14.183"
"2012-06-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.335","6.149"
"Volatility",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","18.79","14.36","19.09","17.15","15.34","14.93"
"2012-06-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","11.72","11.45"
"Tracking Error",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","6.73","7.28","10.55","9.87","10.79","10.5"
"2012-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Information Ratio",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","0.62","-0.19","-0.16","0.14","0.77","0.77"
"2012-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Alpha Stat",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","0.49","-0.13","-0.14","0.18","0.72","0.7"
"2012-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Beta Stat",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","1.06","0.92","0.92","0.94","0.93","0.93"
"2012-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"R-Squared",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","86.03","73.66","69.03","66.52","50.35","50.45"
"2012-06-02_to_2023-01-13_TSX60_Index","-","-","-","-","-","-"
"Max Drawdown",,,,,,
"2012-06-02_to_2023-01-13_Index_7QRank","-20.1838","-20.1838","-31.9841","-31.9841","-31.9841","-31.9841"
"2012-06-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265","-35.7265"
