"","1 Years","2 Years","3 Years","5 Years","2016-07-2023-01"
"Annualized Returns",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","-4.673","7.226","6.73","8.864","12.313"
"2016-07-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","6.042"
"Volatility",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","18.39","14.79","19.28","17.5","15.63"
"2016-07-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","13.17"
"Tracking Error",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","6.01","5.16","6.04","6.19","6.19"
"2016-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","0.3","0.12","0.17","0.68","1.01"
"2016-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","0.24","-0.02","0.05","0.3","0.42"
"2016-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","1.05","1.03","1.06","1.11","1.09"
"2016-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","88.31","87.33","90.18","88.08","84.72"
"2016-07-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2016-07-02_to_2023-01-13_Index_7QRank","-21.6995","-21.6995","-37.5253","-37.5253","-37.5253"
"2016-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
