"","1 Years","2 Years","3 Years","2019-02-2023-01"
"Annualized Returns",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","-3.519","6.073","5.74","8.627"
"2019-02-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.984"
"Volatility",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","17.34","13.8","18.55","16.6"
"2019-02-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.39"
"Tracking Error",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","5.37","5.01","5.22","4.96"
"2019-02-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","0.55","-0.11","0.01","0.33"
"2019-02-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","0.21","-0.08","-0.03","0.1"
"2019-02-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","0.99","0.96","1.03","1.03"
"2019-02-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","89.37","86.37","91.93","90.97"
"2019-02-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-02-02_to_2023-01-13_Index_7QRank","-20.7999","-20.7999","-35.4891","-35.4891"
"2019-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
