"","2020-09-02_to_2023-01-13_Index_7QRank","2020-09-02_to_2023-01-13_TSX60_Index"
"2020-09-02",0,0
"2020-09-03",-1.58363091101462,-1.50673
"2020-09-04",-2.76507180789182,-2.96057999999999
"2020-09-08",-3.64495894449477,-3.65207
"2020-09-09",-1.8434987098579,-1.8889
"2020-09-10",-3.13600158630517,-3.13420000000001
"2020-09-11",-2.65438748651406,-2.82786
"2020-09-14",-1.59941924821838,-2.19822999999999
"2020-09-15",-1.02485827785078,-1.84899000000001
"2020-09-16",-1.24608497418981,-2.83185
"2020-09-17",-1.31021579146617,-3.17310999999999
"2020-09-18",-1.64063873079763,-3.38864999999999
"2020-09-21",-3.81816195114656,-4.43637
"2020-09-22",-2.91296441764953,-3.43355
"2020-09-23",-5.5191305242031,-5.12388
"2020-09-24",-4.75415119392637,-4.58504999999999
"2020-09-25",-4.06466962705755,-3.59121
"2020-09-28",-2.86753509095123,-2.55146000000001
"2020-09-29",-3.18336661257985,-2.83384999999999
"2020-09-30",-3.89207155721921,-3.48244
"2020-10-01",-3.47099566795764,-3.26092
"2020-10-02",-3.45269090843289,-3.07832
"2020-10-05",-2.19828754786335,-1.87294
"2020-10-06",-3.8812063119627,-2.90969
"2020-10-07",-2.50018196655653,-1.63245999999999
"2020-10-08",-0.477941133048576,-1.08664000000001
"2020-10-09",-0.283846879250638,-1.11956999999999
"2020-10-13",-0.684548746313007,-1.43089000000001
"2020-10-14",-0.816115312424193,-1.81406
"2020-10-15",-0.654726353170443,-1.55064
"2020-10-16",-1.30550926449802,-1.94578
"2020-10-19",-1.52097718727708,-2.98851
"2020-10-20",-1.48287668763575,-3.05737
"2020-10-21",-1.21961157080412,-3.5463
"2020-10-22",-0.732888456566583,-3.15815
"2020-10-23",-0.641009434603079,-2.95658
"2020-10-26",-2.4374231753317,-4.21684999999999
"2020-10-27",-2.75097715346033,-4.72575000000001
"2020-10-28",-5.47980755775993,-7.11157
"2020-10-29",-4.71864176985235,-6.71942
"2020-10-30",-5.08388011784173,-7.31113000000001
"2020-11-02",-3.42077688702942,-6.83617
"2020-11-03",-2.32916910642998,-5.38531
"2020-11-04",-2.4852923138362,-4.97620000000001
"2020-11-05",-0.353565648366183,-3.29385000000001
"2020-11-06",0,-1.26027000000001
"2020-11-09",0,-2.16929
"2020-11-10",0,-0.889070000000003
"2020-11-11",0,0
"2020-11-12",0,0
"2020-11-13",0,0
"2020-11-16",0,0
"2020-11-17",0,0
"2020-11-18",0,0
"2020-11-19",0,0
"2020-11-20",0,0
"2020-11-23",0,0
"2020-11-24",0,0
"2020-11-25",0,0
"2020-11-26",0,0
"2020-11-27",0,0
"2020-11-30",0,0
"2020-12-01",0,0
"2020-12-02",0,0
"2020-12-03",0,0
"2020-12-04",0,0
"2020-12-07",0,0
"2020-12-08",0,0
"2020-12-09",0,0
"2020-12-10",0,0
"2020-12-11",0,0
"2020-12-14",0,0
"2020-12-15",0,0
"2020-12-16",0,0
"2020-12-17",0,0
"2020-12-18",0,0
"2020-12-21",0,0
"2020-12-22",0,0
"2020-12-23",0,0
"2020-12-24",0,0
"2020-12-29",0,0
"2020-12-30",0,0
"2020-12-31",0,0
"2021-01-04",0,0
"2021-01-05",0,0
"2021-01-06",0,0
"2021-01-07",0,0
"2021-01-08",0,0
"2021-01-11",0,-0.551767014435323
"2021-01-12",0,-0.274015390294469
"2021-01-13",0,-0.537784159265187
"2021-01-14",0,-0.493976817416231
"2021-01-15",-1.08767927545408,-0.575996490929165
"2021-01-18",-0.953481532231149,-0.454830427290653
"2021-01-19",-0.290949167407073,-0.576930549390775
"2021-01-20",-0.369128155148934,-0.370951977439116
"2021-01-21",-1.37110688481552,-0.923643709751421
"2021-01-22",-1.77652894841841,-1.3374689705779
"2021-01-25",-1.67674012277054,-1.13055634016466
"2021-01-26",-2.73417299343837,-1.93304332686217
"2021-01-27",-4.28159155967448,-4.04969452552072
"2021-01-28",-1.93236364603384,-2.43261515446338
"2021-01-29",-3.59365388108138,-4.31719018775323
"2021-02-01",-1.27348451165511,-2.63206465776845
"2021-02-02",-0.613126901082017,-1.27409310395846
"2021-02-03",0,-1.13428323342644
"2021-02-04",0,-0.367225084177358
"2021-02-05",0,0
"2021-02-08",0,0
"2021-02-09",0,0
"2021-02-10",0,0
"2021-02-11",-2.29340020851543,0
"2021-02-12",-2.03677424435436,0
"2021-02-16",-1.3566238671191,0
"2021-02-17",-1.89307281624181,0
"2021-02-18",-3.24892359020663,0
"2021-02-19",-2.04058781885534,0
"2021-02-22",-1.60647090470516,0
"2021-02-23",-1.94439438268574,0
"2021-02-24",-1.06908197736899,0
"2021-02-25",-2.1925880688401,-1.32773894950808
"2021-02-26",-3.37518163682716,-2.3151253200467
"2021-03-01",-1.51442410119789,-0.99830311635245
"2021-03-02",-0.975668156067644,-0.207482011081639
"2021-03-03",-1.37419360640617,-0.786270181159621
"2021-03-04",-2.3727651520088,-1.74453610943961
"2021-03-05",-0.489395668174875,-0.194741247587971
"2021-03-08",-0.252354791473208,0
"2021-03-09",0,0
"2021-03-10",0,0
"2021-03-11",0,0
"2021-03-12",0,0
"2021-03-15",0,0
"2021-03-16",-1.07230039134864,0
"2021-03-17",-0.364364121562155,0
"2021-03-18",-1.85956036297497,0
"2021-03-19",-1.64974989885814,0
"2021-03-22",-2.26845951671496,0
"2021-03-23",-3.86041546800489,0
"2021-03-24",-4.18078681087732,0
"2021-03-25",-3.89361029562045,0
"2021-03-26",-3.00652697044648,0
"2021-03-29",-3.26284763677086,0
"2021-03-30",-3.08267366365894,0
"2021-03-31",-2.89501980178206,0
"2021-04-01",-1.14265345397323,0
"2021-04-05",-1.23206682595229,0
"2021-04-06",-0.847783368945898,0
"2021-04-07",-0.623759241914223,0
"2021-04-08",-0.725868910103455,0
"2021-04-09",-0.603195041477333,0
