"","1 Years","2 Years","2020-12-2023-01"
"Annualized Returns",,,
"2020-12-02_to_2023-01-13_Index_7QRank","1.599","12.227","14.141"
"2020-12-02_to_2023-01-13_TSX60_Index","-6.482","6.606","7.957"
"Volatility",,,
"2020-12-02_to_2023-01-13_Index_7QRank","20.42","15.15","14.82"
"2020-12-02_to_2023-01-13_TSX60_Index","16.64","13.46","13.21"
"Tracking Error",,,
"2020-12-02_to_2023-01-13_Index_7QRank","8.15","6.28","6.22"
"2020-12-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-12-02_to_2023-01-13_Index_7QRank","0.99","0.9","0.99"
"2020-12-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-12-02_to_2023-01-13_Index_7QRank","1.13","0.45","0.51"
"2020-12-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-12-02_to_2023-01-13_Index_7QRank","1.13","1.02","1.02"
"2020-12-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-12-02_to_2023-01-13_Index_7QRank","83.61","82.05","81.61"
"2020-12-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-12-02_to_2023-01-13_Index_7QRank","-20.214","-20.214","-20.214"
"2020-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
