"","2023-01-2022-01","2021-04-2023-01"
"Annualized Returns",,
"2021-04-02_to_2023-01-13_Index_7QRank","2.143","9.113"
"2021-04-02_to_2023-01-13_TSX60_Index","-6.482","3.95"
"Volatility",,
"2021-04-02_to_2023-01-13_Index_7QRank","19.21","15.13"
"2021-04-02_to_2023-01-13_TSX60_Index","16.64","13.76"
"Tracking Error",,
"2021-04-02_to_2023-01-13_Index_7QRank","7.85","6.36"
"2021-04-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-04-02_to_2023-01-13_Index_7QRank","1.1","0.81"
"2021-04-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-04-02_to_2023-01-13_Index_7QRank","0.99","0.45"
"2021-04-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-04-02_to_2023-01-13_Index_7QRank","1.06","1"
"2021-04-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-04-02_to_2023-01-13_Index_7QRank","81.69","81.38"
"2021-04-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-04-02_to_2023-01-13_Index_7QRank","-18.2329","-18.2329"
"2021-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
